Reservoir,Longitude_1,Latitude_1,Longitude_2,Latitude_2
Reservoir 1,103.3880548,36.12228251,103.3860743,36.12153083
Reservoir 2,100.831189,36.17941596,100.8320806,36.17703722
Reservoir 3,101.7569554,36.174457,101.7587886,36.17306687
Reservoir 3,101.7316901,36.1627906,101.7319417,36.16207756
Reservoir 3,101.7435966,36.15933579,101.7469889,36.15780829
Reservoir 4,103.1890313,35.97444916,103.1948144,35.97370529
Reservoir 4,103.235067,35.96061325,103.2388131,35.95859528
Reservoir 5,103.3479194,35.92288683,103.3497922,35.9192513
Reservoir 6,104.7840251,30.86483127,104.7834673,30.86374864
Reservoir 7,104.2513415,30.33057243,104.2543004,30.32894619
Reservoir 8,104.0421861,30.13606454,104.0442369,30.13413642
Reservoir 8,104.040722,30.05621123,104.0405581,30.05214722
Reservoir 9,104.9051656,29.56171047,104.9068231,29.56031942
Reservoir 10,103.4704283,29.32425863,103.4720806,29.32041389
Reservoir 11,103.6424713,29.19114515,103.6402278,29.18788189
Reservoir 12,90.58789304,29.18791945,90.58958154,29.1867749
Reservoir 12,90.67774927,29.05727871,90.6771046,29.0542237
Reservoir 12,90.71328611,28.94662767,90.71135882,28.94514974
Reservoir 12,90.62818499,28.88914395,90.62892216,28.88713671
Reservoir 12,90.61399099,28.8876652,90.61327403,28.88835402
Reservoir 12,90.58017589,28.81271145,90.58136248,28.8125
Reservoir 12,90.89731429,28.95497186,90.89761872,28.95263713
Reservoir 12,90.84760468,28.95290887,90.84591625,28.95434516
Reservoir 12,90.87693126,28.90117608,90.87759824,28.90031196
Reservoir 12,90.99247359,28.95722222,90.99450518,28.95954753
Reservoir 12,90.88509458,28.99487969,90.88330496,28.99692844
Reservoir 13,103.7947094,28.41319763,103.7954025,28.41070541
Reservoir 14,101.9541062,27.33687012,101.9537527,27.33539198
Reservoir 14,101.642891,26.96508355,101.6416319,26.9654088
Reservoir 14,101.5542902,26.92146729,101.5532385,26.92179009
Reservoir 14,101.4937872,26.89858263,101.4919661,26.89930013
Reservoir 15,103.4312812,26.37319092,103.4324715,26.37257785
Reservoir 16,103.7475041,25.46059462,103.7485422,25.46011827
Reservoir 17,104.1439103,25.33762392,104.1425771,25.33639671
Reservoir 18,101.4124,25.24204102,101.4123504,25.24120931
Reservoir 19,102.8647205,25.20895991,102.8643785,25.2066342
Reservoir 19,102.7909081,25.15739992,102.7919466,25.1563711
Reservoir 20,104.624268,24.89957358,104.6226229,24.8974984
Reservoir 21,100.3037652,24.76341933,100.3088087,24.76337534
Reservoir 22,119.6997195,42.74999729,119.7020003,42.748581
Reservoir 23,117.8465837,41.73531386,117.8475806,41.73496474
